0, Original, Efficiency, 0.2759491367, 0
0, Original, Weight, 5000000000.0000000000, 0
0, Original, Weight, 4530787563.0000000000, 1
0, Original, Weight, 5000000000.0000000000, 2
0, Original, Weight, 5000000000.0000000000, 3
0, Original, Weight, 5000000000.0000000000, 4
0, Original, Weight, 3592362689.0000000000, 5
0, Original, Weight, 5000000000.0000000000, 6
0, Original, Weight, 1290259306.0000000000, 7
0, Original, Weight, 2371072475.0000000000, 8
0, Original, Weight, 107194140.0000000000, 9
0, Original, Weight, 107194140.0000000000, 10
0, Original, Weight, 107194140.0000000000, 11
0, Original, Weight, 2371072475.0000000000, 12
0, Original, Weight, 107194140.0000000000, 13
0, Original, Weight, 107194140.0000000000, 14
0, Original, Weight, 107194140.0000000000, 15
0, Original, Weight, 107194140.0000000000, 16
0, Original, Weight, 107194140.0000000000, 17
0, Original, Weight, 107194140.0000000000, 18
0, Original, Weight, 107194140.0000000000, 19
0, Original, Weight, 107194140.0000000000, 20
0, Original, Weight, 107194140.0000000000, 21
0, Original, Weight, 107194140.0000000000, 22
0, Original, Weight, 107194140.0000000000, 23
0, Original, Weight, 107194140.0000000000, 24
0, Original, Weight, 107194140.0000000000, 25
0, Original, Weight, 107230857.0000000000, 26
0, Original, Weight, 104555515.0000000000, 27
0, Original, Weight, 104555515.0000000000, 28
0, Original, Weight, 101916890.0000000000, 29
0, Original, Weight, 3393441038.0000000000, 30
0, Original, Weight, 4625123687.0000000000, 31
0, Original, Weight, 99278265.0000000000, 32
0, Original, Weight, 4500164916.0000000000, 33
0, Original, Weight, 4500164916.0000000000, 34
0, Original, Weight, 96639640.0000000000, 35
0, Original, Weight, 4375206145.0000000000, 36
0, Original, Weight, 4375206145.0000000000, 37
0, Original, Weight, 2841665089.0000000000, 38
0, Original, Weight, 183471513.0000000000, 39
0, Original, Weight, 94001015.0000000000, 40
0, Original, Weight, 94001015.0000000000, 41
0, Original, Weight, 94001015.0000000000, 42
0, Original, Weight, 94001015.0000000000, 43
0, Original, Weight, 94001015.0000000000, 44
0, Original, Weight, 94001015.0000000000, 45
0, Original, Weight, 94001015.0000000000, 46
0, Original, Weight, 91392777.0000000000, 47
0, Original, Weight, 3061575126.0000000000, 48
0, Original, Weight, 3061575126.0000000000, 49
0, Original, Weight, 3530787563.0000000000, 50
0, Original, Weight, 3061575126.0000000000, 51
0, Original, Weight, 4000000000.0000000000, 52
0, Original, Weight, 4000000000.0000000000, 53
0, Original, Weight, 4000000000.0000000000, 54
0, Original, Weight, 4000000000.0000000000, 55
0, Original, Weight, 4000000000.0000000000, 56
0, Original, Weight, 3530787563.0000000000, 57
0, Original, Weight, 4000000000.0000000000, 58
0, Original, Weight, 4000000000.0000000000, 59
0, Original, Weight, 4000000000.0000000000, 60
0, Original, Weight, 4000000000.0000000000, 61
0, Original, Weight, 2247381650.0000000000, 62
0, Original, Weight, 85755312.0000000000, 63
0, Original, Weight, 2042877656.0000000000, 64
0, Original, Weight, 188007309.0000000000, 65
0, Original, Weight, 85755312.0000000000, 66
0, Original, Weight, 85755312.0000000000, 67
0, Original, Weight, 85755312.0000000000, 68
0, Original, Weight, 85755312.0000000000, 69
0, Original, Weight, 85755312.0000000000, 70
0, Original, Weight, 2042877656.0000000000, 71
0, Original, Weight, 188007309.0000000000, 72
0, Original, Weight, 85755312.0000000000, 73
0, Original, Weight, 85755312.0000000000, 74
0, Original, Weight, 85755312.0000000000, 75
0, Original, Weight, 85755312.0000000000, 76
0, Original, Weight, 85755312.0000000000, 77
0, Original, Weight, 85755312.0000000000, 78
0, Original, Weight, 85755312.0000000000, 79
0, Original, Weight, 85755312.0000000000, 80
0, Original, Weight, 85755312.0000000000, 81
0, Original, Weight, 85755312.0000000000, 82
0, Original, Weight, 85755312.0000000000, 83
0, Original, Weight, 85755312.0000000000, 84
0, Original, Weight, 85755312.0000000000, 85
0, Original, Weight, 85755312.0000000000, 86
0, Original, Weight, 85755312.0000000000, 87
0, Original, Weight, 85755312.0000000000, 88
0, Original, Weight, 85755312.0000000000, 89
0, Original, Weight, 85755312.0000000000, 90
0, Original, Weight, 85755312.0000000000, 91
0, Original, Weight, 83116687.0000000000, 92
0, Original, Weight, 83116687.0000000000, 93
0, Original, Weight, 80478062.0000000000, 94
0, Original, Weight, 80858535.0000000000, 95
0, Original, UsedEfficiency, 0.2759491367, 0
0, Knapsack, Weight, 1875041229.0000000000, 0
0, Knapsack, Weight, 1875041229.0000000000, 1
0, Knapsack, Weight, 1875041229.0000000000, 2
0, Knapsack, Weight, 1875041229.0000000000, 3
0, Knapsack, Weight, 1875041229.0000000000, 4
0, Knapsack, Weight, 1875041229.0000000000, 5
0, Knapsack, Weight, 1875041229.0000000000, 6
0, Knapsack, Weight, 1875041229.0000000000, 7
0, Knapsack, Weight, 1875041229.0000000000, 8
0, Knapsack, Weight, 1875041229.0000000000, 9
0, Knapsack, Weight, 1875041229.0000000000, 10
0, Knapsack, Weight, 1875041229.0000000000, 11
0, Knapsack, Weight, 1875041229.0000000000, 12
0, Knapsack, Weight, 1875041229.0000000000, 13
0, Knapsack, Weight, 1875041229.0000000000, 14
0, Knapsack, Weight, 1875041229.0000000000, 15
0, Knapsack, Weight, 1875041229.0000000000, 16
0, Knapsack, Weight, 1875041229.0000000000, 17
0, Knapsack, Weight, 1875041229.0000000000, 18
0, Knapsack, Weight, 1875041229.0000000000, 19
0, Knapsack, Weight, 1875041229.0000000000, 20
0, Knapsack, Weight, 1875041229.0000000000, 21
0, Knapsack, Weight, 1875041229.0000000000, 22
0, Knapsack, Weight, 1875041229.0000000000, 23
0, Knapsack, Weight, 1530787563.0000000000, 24
0, Knapsack, Weight, 1530787563.0000000000, 25
0, Knapsack, Weight, 1530787563.0000000000, 26
0, Knapsack, Weight, 1530787563.0000000000, 27
0, Knapsack, Weight, 1530787563.0000000000, 28
0, Knapsack, Weight, 1530787563.0000000000, 29
0, Knapsack, Weight, 1530787563.0000000000, 30
0, Knapsack, Weight, 1530787563.0000000000, 31
0, Knapsack, Weight, 1530787563.0000000000, 32
0, Knapsack, Weight, 1530787563.0000000000, 33
0, Knapsack, Weight, 1530787563.0000000000, 34
0, Knapsack, Weight, 1530787563.0000000000, 35
0, Knapsack, Weight, 1464480346.0000000000, 36
0, Knapsack, Weight, 1464480346.0000000000, 37
0, Knapsack, Weight, 1464480346.0000000000, 38
0, Knapsack, Weight, 1144794546.0000000000, 39
0, Knapsack, Weight, 1144794546.0000000000, 40
0, Knapsack, Weight, 1144794546.0000000000, 41
0, Knapsack, Weight, 1142491028.0000000000, 42
0, Knapsack, Weight, 1142491028.0000000000, 43
0, Knapsack, Weight, 1142491028.0000000000, 44
0, Knapsack, Weight, 1142491028.0000000000, 45
0, Knapsack, Weight, 1142491028.0000000000, 46
0, Knapsack, Weight, 1142491028.0000000000, 47
0, Knapsack, Weight, 1142491028.0000000000, 48
