0, Original, Efficiency, 0.3540830326, 0
0, Original, UsedEfficiency, 0.3540830326, 0
0, Knapsack, Weight, 0.0000000000, 0
0, Knapsack, Weight, 0.0000000000, 1
0, Knapsack, Weight, 0.0000000000, 2
0, Knapsack, Weight, 0.0000000000, 3
0, Knapsack, Efficiency, 0.9980898505
0, Knapsack, UsedEfficiency, 0.9980898505, 0
0, Knapsack, Time, 0.0012986970, 0
0, Karmarkar-Karp, Weight, 0.0000000000, -1304058728
0, Karmarkar-Karp, Weight, 0.0000000000, -1296091903
0, Karmarkar-Karp, Weight, 0.0000000000, -1294331910
0, Karmarkar-Karp, Weight, 0.0000000000, -1293174400
0, Karmarkar-Karp, Efficiency, 0.9987541328
0, Karmarkar-Karp, UsedEfficiency, 0.9987541328, 0
0, Karmarkar-Karp, Time, 0.0015227500, 0
0, SFC, Efficiency, 0.9327733141
0, SFC, UsedEfficiency, 0.9327733141, 0
0, SFC, Time, 0.0007685390, 0
0, HilbertSFC, Weight, 2127365312.0000000000, 0
0, HilbertSFC, Weight, 3134342995.0000000000, 1
0, HilbertSFC, Weight, 3645080768.0000000000, 2
0, HilbertSFC, Weight, 3085423168.0000000000, 3
0, HilbertSFC, Efficiency, 0.8224929025
0, HilbertSFC, UsedEfficiency, 0.8224929025, 0
0, HilbertSFC, Time, 1.1798451930, 0
0, SFC+Knapsack, Efficiency, 0.9980898505
0, SFC+Knapsack, UsedEfficiency, 0.9980898505, 0
0, SFC+Knapsack, Time, 0.0008771590, 0
0, SFC+Painter, Weight, 0.0000000000, -1091046486
0, SFC+Painter, Weight, 0.0000000000, -1129937624
0, SFC+Painter, Weight, 0.0000000000, -1434710251
0, SFC+Painter, Weight, 0.0000000000, -1531962580
0, SFC+Painter, Efficiency, 0.9357450569
0, SFC+Painter, UsedEfficiency, 0.9357450569, 0
0, SFC+Painter, Time, 0.0020453930, 0
0, Hilbert+Painter, Efficiency, 0.9586513764
0, Hilbert+Painter, Efficiency, 0.9586513764, 0
0, Hilbert+Painter, UsedEfficiency, 0.9586513764, 0
0, Hilbert+Painter, Time, 0.0012413650, 0
0, SFC+Painter, Weight, 0.0000000000, -892689645
0, SFC+Painter, Efficiency, 1.0000000000
0, Painter+Knapsack, Weight, 3003790750.0000000000, 0
0, Painter+Knapsack, Weight, 2999348035.0000000000, 1
0, Painter+Knapsack, Weight, 2996156389.0000000000, 2
0, Painter+Knapsack, Weight, 2992917069.0000000000, 3
0, Painter+Knapsack, Efficiency, 0.9980898505
0, Painter+Knapsack, UsedEfficiency, 0.9980898505, 0
0, Painter+Knapsack, Time, 0.0020149230, 0
1, Original, PreviousEfficiency, 0.3541126223, 0
1, Original, Efficiency, 0.3541126223, 0
1, Original, UsedEfficiency, 0.3541126223, 0
1, Knapsack, PreviousEfficiency, 0.9980635735, 0
1, Knapsack, Weight, 0.0000000000, 0
1, Knapsack, Weight, 0.0000000000, 1
1, Knapsack, Weight, 0.0000000000, 2
1, Knapsack, Weight, 0.0000000000, 3
1, Knapsack, Efficiency, 0.9980986164
1, Knapsack, UsedEfficiency, 0.9980635735, 0
1, Knapsack, Time, 0.0012948390, 0
1, Karmarkar-Karp, PreviousEfficiency, 0.9987156212, 0
1, Karmarkar-Karp, Weight, 0.0000000000, -1304962343
1, Karmarkar-Karp, Weight, 0.0000000000, -1296755855
1, Karmarkar-Karp, Weight, 0.0000000000, -1293963303
1, Karmarkar-Karp, Weight, 0.0000000000, -1293420336
